"","method","variate","design","number","RMSE"
"374","exhaustive_test","OCS","clusterStrong",26,8.36808678799434
"375","exhaustive_test","OCS","clusterStrong",27,8.42947711536011
"376","exhaustive_test","OCS","clusterStrong",28,8.84210022459985
"377","exhaustive_test","OCS","clusterStrong",29,8.11593258397788
"378","exhaustive_test","OCS","clusterStrong",30,8.38607786527919
"379","exhaustive_test","OCS","clusterStrong",31,8.26021377855719
"380","exhaustive_test","OCS","clusterStrong",32,8.54126064489833
"381","exhaustive_test","OCS","clusterStrong",33,8.44778670243763
"382","exhaustive_test","OCS","clusterStrong",34,8.02424727441382
"383","exhaustive_test","OCS","clusterStrong",35,8.33463054718781
"384","exhaustive_test","OCS","clusterStrong",36,8.48674505472366
"385","exhaustive_test","OCS","clusterStrong",37,8.15047647636797
"386","exhaustive_test","OCS","clusterStrong",38,9.04769728215992
"387","exhaustive_test","OCS","clusterStrong",39,8.10717656975372
"388","exhaustive_test","OCS","clusterStrong",40,8.21885215373546
"389","exhaustive_test","OCS","clusterStrong",41,9.37841963421279
"390","exhaustive_test","OCS","clusterStrong",42,8.93641386420603
"391","exhaustive_test","OCS","clusterStrong",43,8.61446446614219
"392","exhaustive_test","OCS","clusterStrong",44,8.08169697555786
"393","exhaustive_test","OCS","clusterStrong",45,8.18075778916772
"394","exhaustive_test","OCS","clusterStrong",46,8.20543648602622
"395","exhaustive_test","OCS","clusterStrong",47,8.23292908453782
"396","exhaustive_test","OCS","clusterStrong",48,8.78468008453474
"397","exhaustive_test","OCS","clusterStrong",49,8.93692007514048
"398","exhaustive_test","OCS","clusterStrong",50,8.10712253466559
"399","exhaustive_test","OCS","regular",1,7.46216105214207
"400","exhaustive_test","OCS","regular",2,7.562338218481
"401","exhaustive_test","OCS","regular",3,7.49176981331863
"402","exhaustive_test","OCS","regular",4,7.61047311353702
"403","exhaustive_test","OCS","regular",5,7.54986439056137
"404","exhaustive_test","OCS","regular",6,7.41903451699637
"405","exhaustive_test","OCS","regular",7,7.36964910232792
"406","exhaustive_test","OCS","regular",8,7.5123777840416
"407","exhaustive_test","OCS","regular",9,7.54498537472205
"408","exhaustive_test","OCS","regular",10,7.41913161972998
"409","exhaustive_test","OCS","regular",11,7.41347645688429
"410","exhaustive_test","OCS","regular",12,7.48240789270351
"411","exhaustive_test","OCS","regular",13,7.29486105576353
"412","exhaustive_test","OCS","regular",14,7.2382389718478
"413","exhaustive_test","OCS","regular",15,7.65582938642149
"414","exhaustive_test","OCS","regular",16,7.46926272863806
"415","exhaustive_test","OCS","regular",17,7.41469956968553
"416","exhaustive_test","OCS","regular",18,7.43913592177237
"417","exhaustive_test","OCS","regular",19,7.45825189817062
"418","exhaustive_test","OCS","regular",20,7.39115177812642
"419","exhaustive_test","OCS","regular",21,7.47016646379191
"420","exhaustive_test","OCS","regular",22,7.43660739111272
"421","exhaustive_test","OCS","regular",23,7.48500389397433
"422","exhaustive_test","OCS","regular",24,7.36731249023898
"423","exhaustive_test","OCS","regular",25,7.45453839991972
"424","exhaustive_test","OCS","regular",26,7.32257511079724
"425","exhaustive_test","OCS","regular",27,7.59316454145764
"426","exhaustive_test","OCS","regular",28,7.61953255264994
"427","exhaustive_test","OCS","regular",29,7.4847188690977
"428","exhaustive_test","OCS","regular",30,7.48260669558185
"429","exhaustive_test","OCS","regular",31,7.48945743544951
"430","exhaustive_test","OCS","regular",32,7.49362864610207
"431","exhaustive_test","OCS","regular",33,7.59235359246559
"432","exhaustive_test","OCS","regular",34,7.51111753517758
"433","exhaustive_test","OCS","regular",35,7.4408485504474
"434","exhaustive_test","OCS","regular",36,7.43699949729903
"435","exhaustive_test","OCS","regular",37,7.55972851299818
"436","exhaustive_test","OCS","regular",38,7.37467706819934
"437","exhaustive_test","OCS","regular",39,7.47232347996821
"438","exhaustive_test","OCS","regular",40,7.2926111569406
"439","exhaustive_test","OCS","regular",41,7.59918233577146
"440","exhaustive_test","OCS","regular",42,7.44561904097782
"441","exhaustive_test","OCS","regular",43,7.52222565717851
"442","exhaustive_test","OCS","regular",44,7.54237105018577
"443","exhaustive_test","OCS","regular",45,7.50556377229488
"444","exhaustive_test","OCS","regular",46,7.35699140625557
"445","exhaustive_test","OCS","regular",47,7.66174770441737
"446","exhaustive_test","OCS","regular",48,7.37815721623936
"447","exhaustive_test","OCS","regular",49,7.70298792582395
"448","exhaustive_test","OCS","regular",50,7.42670761911398
